frequency_hz,magnitude,phase_rad
0.0,4.251122853076451e-18,0.0
0.1,3.173615915741884e-17,1.621433850919209
0.2,2.9089205230469913e-17,2.301253120162178
0.30000000000000004,4.113443097957066e-17,2.4153498184739273
0.4,3.1434118844728646e-17,2.6339509994019212
0.5,2.069450957772531e-17,2.6839844289152235
0.6000000000000001,2.1033698204408522e-17,1.4201851452972638
0.7000000000000001,3.151076421571268e-17,1.7176200600927436
0.8,5.1940486124564723e-17,1.259618413738282
0.9,4.6151635207096686e-17,1.6991018508705429
1.0,7.018773001203295e-17,1.6643147378573782
1.1,6.526599323782346e-17,1.7211337823299238
1.2000000000000002,8.292987260814377e-17,1.5017057965599696
1.3,8.867441529435105e-17,1.5860831179074726
1.4000000000000001,9.32289425549119e-17,1.7269075186480622
1.5,7.849490374456369e-17,1.6956069814122834
1.6,1.2109426148654952e-16,1.4785177532205804
1.7000000000000002,1.1677673595441734e-16,1.632178533314226
1.8,1.2640981523373478e-16,1.5625841147198174
1.9000000000000001,1.405371513367101e-16,1.5488189050190737
2.0,1.570189940799066e-16,1.5727814344730227
2.1,1.6354085591211385e-16,1.5638945704362712
2.2,1.7941873928505146e-16,1.591599369843834
2.3000000000000003,1.881039215388183e-16,1.6342474789384125
2.4000000000000004,2.004693363344972e-16,1.5573706301379457
2.5,2.1330833206861222e-16,1.5669338080859527
2.6,2.342788491587054e-16,1.578009564703141
2.7,2.4082063013434417e-16,1.5769154670982972
2.8000000000000003,2.584669018838996e-16,1.5805332585504512
2.9000000000000004,2.720792310892265e-16,1.5624732519141458
3.0,2.9688832658851933e-16,1.5685524896720893
3.1,3.1827960785913685e-16,1.5024982414144332
3.2,3.3228614348028395e-16,1.5917925562393926
3.3000000000000003,3.5065220772759676e-16,1.5948896922574614
3.4000000000000004,3.6710748367793127e-16,1.5674286903135048
3.5,4.107848064177901e-16,1.5816130552531937
3.6,4.408994669905878e-16,1.5784917289428129
3.7,4.788247962334439e-16,1.5803243682546244
3.8000000000000003,5.114854145223037e-16,1.573829568680972
3.9000000000000004,5.586630027202582e-16,1.5600373425797696
4.0,6.068922672264223e-16,1.5730920848354324
4.1000000000000005,6.74476762812959e-16,1.5731997883675248
4.2,7.749378333688179e-16,1.5772489458208958
4.3,8.248467069302454e-16,1.582201200276455
4.4,9.296996579268534e-16,1.573176629394959
4.5,1.0662718019417327e-15,1.569393530675763
4.6000000000000005,1.2535651177027213e-15,1.5754473090444803
4.7,1.5338373034345649e-15,1.564958173909371
4.800000000000001,1.9946067822577535e-15,1.5706654304824583
4.9,3.1563586494367996e-15,1.5745245561626637
5.0,0.9999999999999986,-1.5707963267949028
5.1000000000000005,1.0290353635102917e-16,-1.808620910238515
5.2,1.5355655776376125e-15,1.5699525806087076
5.300000000000001,3.1585185227029563e-15,1.5709725433067196
5.4,7.226424117924235e-15,1.5729164230185997
5.5,1.0000000000000007,-1.5707963267949212
5.6000000000000005,8.23590904282319e-15,-1.5725820162390254
5.7,4.261112899870108e-15,-1.5665731541637282
5.800000000000001,2.9641967345072192e-15,-1.5777804375334636
5.9,2.2711493868012155e-15,-1.5564640670496503
6.0,1.8456060098968457e-15,-1.567555666157425
6.1000000000000005,1.5596666924440474e-15,-1.5647620937827669
6.2,1.3609248391174774e-15,-1.5704583010460784
6.300000000000001,1.21291859590122e-15,-1.5691894370853183
6.4,1.0977066150281502e-15,-1.5751916528890348
6.5,1.0033885707832783e-15,-1.5689837183767383
6.6000000000000005,9.058071330997733e-16,-1.5692549207121511
6.7,8.566596101892046e-16,-1.5558760239824585
6.800000000000001,7.956307587341814e-16,-1.5599955106685677
6.9,7.439777262066362e-16,-1.5529335984093913
7.0,6.837879411783293e-16,-1.5499296347738218
7.1000000000000005,6.486615695892891e-16,-1.5330530371249909
7.2,6.178469023045995e-16,-1.5727961899979164
7.300000000000001,6.0545507172488e-16,-1.5589856758024678
7.4,5.712420749195363e-16,-1.569201592313107
7.5,5.495366802253261e-16,-1.5613777687725283
7.6000000000000005,5.264050612594556e-16,-1.5640850238710573
7.7,4.975555265084775e-16,-1.5588573628163442
7.800000000000001,4.902100553336729e-16,-1.5734641670568728
7.9,4.548619284636826e-16,-1.5260077976695414
8.0,4.652233610521598e-16,-1.5738686644549897
8.1,4.306813383809625e-16,-1.5683722690796924
8.200000000000001,4.0460938783870566e-16,-1.5581116149652607
8.3,4.1023155014951377e-16,-1.5589888348743095
8.4,3.937164752912495e-16,-1.5876772171468476
8.5,3.857974691226617e-16,-1.5808117454828836
8.6,3.8462665627399445e-16,-1.593665153741522
8.700000000000001,3.6403171701779616e-16,-1.6191674061977666
8.8,3.59755780532523e-16,-1.5511570058881023
8.9,3.359823434763673e-16,-1.5832555665802956
9.0,3.4121646636427877e-16,-1.5899954224367936
9.1,3.431324772904314e-16,-1.5945086724633362
9.200000000000001,3.2251681406700725e-16,-1.5317129312326239
9.3,3.1891839525682013e-16,-1.596734196904862
9.4,3.1436154284570706e-16,-1.5642750690964362
9.5,3.016261562557241e-16,-1.5606884580536224
9.600000000000001,2.967362941059762e-16,-1.5955372645544612
9.700000000000001,2.8699967072736805e-16,-1.5672887720844184
9.8,2.900065924055045e-16,-1.571476864744398
9.9,2.7183506408686633e-16,-1.5682375276338463
10.0,2.5483670938921465e-16,-1.5448948543716876
10.100000000000001,2.705884873251167e-16,-1.7009688394615918
10.200000000000001,2.379730564629009e-16,-1.661182301272073
10.3,2.880651738353053e-16,-1.7135909342979845
10.4,2.4703856559309e-16,-2.1474436407445086
10.5,5.262812051713781e-16,-1.5850225690328243
10.600000000000001,2.5330546568764453e-16,-1.1047559840006997
10.700000000000001,3.058724670804327e-16,-1.4646838185878177
10.8,2.3746087659386364e-16,-1.4336327772574857
10.9,2.389951066485337e-16,-1.3700881936379894
11.0,2.3548142692482946e-16,-1.5627809853211594
11.100000000000001,1.8900547133406047e-16,-1.4605964306457446
11.200000000000001,2.4243772339324546e-16,-1.5303343427395766
11.3,2.221840795383982e-16,-1.5363828536322475
11.4,2.486411386701378e-16,-1.4142225079075992
11.5,2.4049045562862364e-16,-1.5353551298104535
11.600000000000001,1.826885764587722e-16,-1.4037445052244415
11.700000000000001,2.2978372773766474e-16,-1.6089110294515698
11.8,2.1053178794844639e-16,-1.5793605537332234
11.9,2.8808504019019142e-16,-1.2955843541008438
12.0,1.9805411174739922e-16,-1.3606820277065437
12.100000000000001,1.2915747963536327e-16,-0.867034523123559
12.200000000000001,2.362483578919129e-16,-2.0923426158288954
12.3,2.3028174865123496e-16,-0.980949316420698
