frequency_hz,magnitude,phase_rad
0.0,0.1262750302935009,0.0
2.0,0.3010527564523438,1.1800967115087317e-16
4.0,0.7052507706088637,-6.204440266978488e-17
6.0,1.1564584850279183,-2.0970220407044073
8.0,0.1653606267904646,-3.141592653589793
10.0,0.08702282018339798,-3.141592653589792
12.0,0.05565670346853084,3.141592653589793
14.0,0.03941134521698512,3.1415926535897913
16.0,0.029768292442598217,-3.141592653589791
18.0,0.023531726092540044,3.14159265358979
20.0,0.019252210110102988,-3.141592653589789
22.0,0.016185781268436488,-3.1415926535897887
24.0,0.013915516095407048,3.1415926535897922
26.0,0.012191858671210915,3.1415926535897905
28.0,0.010857579957118713,-3.1415926535897825
30.0,0.009809491010111486,3.1415926535897913
32.0,0.008977599002315212,-3.1415926535897705
34.0,0.00831314715907709,-3.1415926535897847
36.0,0.007781448829852096,-3.141592653589788
38.0,0.007357437370046327,-3.141592653589778
40.0,0.007022820183397896,3.1415926535897905
42.0,0.006764216221362921,-3.1415926535897922
44.0,0.006571917741048077,-3.1415926535897705
46.0,0.006439062455505235,-3.1415926535897594
48.0,0.0031805431407642675,-3.1415926535897776
